Ticker,returnOnAssets,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,currentRatio,marketCap,Label
HRTA,0.113249995,0.052800003,0.04164,0.956,0.931,2.137,5848683249664.0,Tidak Memenuhi
FILM,-0.0017299999,0.53701,0.14766,0.115,,1.857,61786938146816.0,Tidak Memenuhi
RALS,0.03498,0.47134,-0.05672,-0.573,-0.911,3.949,2538580738048.0,Tidak Memenuhi
KPIG,0.00308,0.28329,0.14515,0.201,-0.276,0.603,14243340484608.0,Tidak Memenuhi
MAPA,0.10443,0.45088002,0.104849994,0.067,0.055,1.845,19952801153024.0,Tidak Memenuhi
MERI,,0.63453996,0.20364,0.144,-0.945,3.305,221518348288.0,Tidak Memenuhi
FAST,-0.07003,0.57277,-0.09262,-0.076,,0.307,3367699742720.0,Tidak Memenuhi
SLIS,-0.0057800002,0.08134,-0.19735001,-0.724,,11.246,197066981376.0,Tidak Memenuhi
DOOH,0.00822,0.21722999,0.11322,0.655,-0.318,7.25,1029272567808.0,Tidak Memenuhi
SMSM,0.18688999,0.37235,0.26709,0.093,0.148,5.521,11056657203200.0,Tidak Memenuhi
IMAS,0.022769999,0.17989,0.06205,0.087,4.104,0.914,4593434492928.0,Tidak Memenuhi
KAQI,,0.75014,0.27395,0.184,-0.523,7.799,137002803200.0,Tidak Memenuhi
ZATA,0.00992,0.4718,-0.03179,-0.263,,6.98,569231998976.0,Tidak Memenuhi
WOOD,0.03314,0.27137,0.10978,-0.153,-0.107,1.907,2856364277760.0,Tidak Memenuhi
MSIN,0.0374,0.28702,0.23316999,0.013,0.035,5.649,30641468997632.0,Tidak Memenuhi
CNMA,0.085439995,0.54997003,0.16441,0.072,0.126,3.405,9918054662144.0,Tidak Memenuhi
VKTR,0.00025,0.16715999,-0.0074299998,-0.039,,1.663,14437499011072.0,Tidak Memenuhi
ASLC,0.02447,0.28908002,0.023629999,0.132,-0.305,3.031,1261889126400.0,Tidak Memenuhi
SRIL,,,,,,,2986021224448.0,Tidak Memenuhi
IPTV,-0.01351,0.00982,-0.0919,-0.179,,4.093,1730115928064.0,Tidak Memenuhi
MSKY,-0.0269,-0.08524,-0.74555,-0.441,,1.008,797748166656.0,Tidak Memenuhi
BELL,0.03004,0.31383,0.04119,-0.097,,1.378,483226189824.0,Tidak Memenuhi
PMUI,,0.068,0.015140001,-0.127,0.257,6.207,858400030720.0,Tidak Memenuhi
JIHD,0.011829999,0.78113997,0.09834,0.015,-0.145,0.957,1374133813248.0,Tidak Memenuhi
TMPO,0.00605,0.4662,-0.04237,-0.149,,1.935,179916652544.0,Tidak Memenuhi
CARS,0.05481,0.12562999,-0.011030001,-0.309,0.047,0.907,1965000097792.0,Tidak Memenuhi
ABBA,0.018029999,0.36795,-0.029409999,-0.01,,0.526,232217673728.0,Tidak Memenuhi
NETV,-0.13972999,-0.30827,-3.8897,-0.583,,1.49,4384215007232.0,Tidak Memenuhi
PZZA,0.031,0.67982,0.01342,0.086,,0.577,691262849024.0,Tidak Memenuhi
DRMA,0.11892,0.17686,0.14002,0.103,0.027,1.817,4941176373248.0,Tidak Memenuhi
MARI,-0.09629,0.51845,-0.97865,-0.227,,3.229,178589892608.0,Tidak Memenuhi
DOSS,,0.05448,0.04546,0.376,-0.264,2.47,260474994688.0,Tidak Memenuhi
ERAL,0.05317,0.16679001,0.04463,0.276,-0.334,1.889,1494000074752.0,Tidak Memenuhi
ACRO,0.02725,0.44684,-0.043470003,-0.441,-0.753,1.39,301820379136.0,Tidak Memenuhi
VIVA,-0.03235,0.52628,-0.10549,-0.087,,0.573,477463838720.0,Tidak Memenuhi
ESTA,0.0077100005,0.50452,0.082320005,0.014,,0.343,538428637184.0,Tidak Memenuhi
PSKT,-0.01179,0.5301,-0.17824,-0.167,,0.317,1418118823936.0,Tidak Memenuhi
INDR,-0.016339999,0.00261,-0.03633,-0.09,,1.06,2093925400576.0,Tidak Memenuhi
VERN,,0.14669,0.25338,,,28.089,567112171520.0,Tidak Memenuhi
YELO,-0.0137600005,0.01783,0.059180003,-0.813,-0.859,20.154,130068660224.0,Tidak Memenuhi
JGLE,0.00973,0.68417,0.26736,0.054,,0.87,406474358784.0,Tidak Memenuhi
MDIY,0.17298001,0.56490004,0.21228,-0.061,-1.0,1.659,27457526693888.0,Tidak Memenuhi
EAST,0.05009,0.74297994,0.37645,-0.061,0.06,1.97,383755714560.0,Tidak Memenuhi
RAAM,-0.02286,0.25868,-0.1929,0.083,,1.016,1730659483648.0,Tidak Memenuhi
PART,,0.2176,0.052259997,-0.09,0.539,1.848,323683090432.0,Tidak Memenuhi
GEMA,0.04522,0.25107,0.0229,-0.068,,1.152,142399995904.0,Tidak Memenuhi
LIVE,0.04566,0.44009998,0.12585,0.539,-0.47,2.45,831333924864.0,Tidak Memenuhi
GRPH,0.03398,0.45435002,0.20417999,-0.035,0.433,0.994,65000001536.0,Tidak Memenuhi
PBRX,0.03492,0.15175,0.0036300002,0.024,,4.483,751871000576.0,Tidak Memenuhi
KOTA,-0.0029300002,0.67138,-0.14759,0.452,,1.207,358570295296.0,Tidak Memenuhi
PJAA,0.050669998,0.56194997,0.25174,-0.033,-0.119,0.82,840000012288.0,Tidak Memenuhi
PANR,,0.11264,0.039839998,0.098,0.169,1.411,971250008064.0,Tidak Memenuhi
FORU,-0.062480003,0.46800998,-0.25546,-0.456,,5.959,567573282816.0,Tidak Memenuhi
BOLA,0.01055,0.87915003,0.091079995,0.496,,10.565,1092000022528.0,Tidak Memenuhi
BAIK,0.034,0.17412001,0.05298,0.037,0.19,9.459,111375269888.0,Tidak Memenuhi
GOLF,0.0054400004,0.58242,0.28273,0.364,5.648,6.859,3936325730304.0,Tidak Memenuhi
FITT,-0.042,0.28170002,-0.57882,-0.222,,2.773,1330357469184.0,Tidak Memenuhi
LPIN,0.04111,0.29732,0.1671,0.228,0.26,6.418,195499999232.0,Tidak Memenuhi
INDS,0.01951,0.13836999,0.054190002,0.048,-0.466,3.605,1483124375552.0,Tidak Memenuhi
TRIS,0.06413,0.25405002,0.07981,0.038,1.03,1.975,559841280000.0,Tidak Memenuhi
DFAM,0.0054400004,0.45438,-0.01712,-0.054,,0.992,140589105152.0,Tidak Memenuhi
ERTX,0.04482,0.08935001,0.02605,0.235,,1.348,216138678272.0,Tidak Memenuhi
UFOE,0.0053,0.087,-0.02686,0.128,-0.189,0.988,541974953984.0,Tidak Memenuhi
ECII,-0.00442,0.16972,-0.03316,-0.108,,2.148,216248958976.0,Tidak Memenuhi
TOOL,-0.0062300004,0.40857,-0.02803,-0.39,,16.361,120951201792.0,Tidak Memenuhi
BAYU,0.07072,0.07783,0.04087,0.018,-0.054,2.361,475081932800.0,Tidak Memenuhi
KICI,-0.03689,0.11391,-0.137,0.263,,4.031,53268000768.0,Tidak Memenuhi
MAPB,-0.030450001,0.67369,-0.04414,-0.044,,0.629,3844555931648.0,Tidak Memenuhi
MDIA,0.0076800003,0.45445,0.2047,0.051,,0.271,1333328347136.0,Tidak Memenuhi
SWID,0.07418,0.60563,0.38641998,0.821,3.647,4.538,473881706496.0,Tidak Memenuhi
TOYS,-0.0033000002,0.10764,0.4164,-0.824,,3.236,11480005632.0,Tidak Memenuhi
INOV,0.03185,0.23311001,0.29346,0.42,0.236,0.594,260383965184.0,Tidak Memenuhi
BAUT,-0.057800002,0.14390999,-0.12773,-0.198,,4.466,192007307264.0,Tidak Memenuhi
GDYR,0.02634,0.098979995,0.046919998,-0.095,-0.753,1.005,455100006400.0,Tidak Memenuhi
POLU,-0.00233,0.10920999,-0.016180001,-0.129,,2.107,16331250335744.0,Tidak Memenuhi
DEPO,0.02145,0.19781,0.011360001,0.03,-0.288,1.745,1846879977472.0,Tidak Memenuhi
ESTI,0.022769999,0.14807999,0.03144,0.009,,1.284,272053174272.0,Tidak Memenuhi
UNTD,,0.24327,0.14399,-0.417,,1.838,566666657792.0,Tidak Memenuhi
SONA,0.03744,0.49808,0.10634,0.139,0.689,4.529,1867968020480.0,Tidak Memenuhi
HRME,0.009509999,0.61419,-0.00405,-0.169,,0.541,244308754432.0,Tidak Memenuhi
CSMI,-0.0228,0.58300996,-1.41948,-0.567,,0.143,212175994880.0,Tidak Memenuhi
BIMA,-0.02649,0.26756,-0.1442,0.097,,0.461,43180478464.0,Tidak Memenuhi
RAFI,0.00588,0.10408,-0.2934,-0.7,,1.718,112613056512.0,Tidak Memenuhi
BABY,-0.050780002,0.42830002,0.02023,0.107,,2.773,1399681318912.0,Tidak Memenuhi
DIGI,0.13171,0.4806,0.0879,-0.053,1.225,0.929,56874999808.0,Tidak Memenuhi
POLY,-0.059439998,-0.03211,-0.39178002,-0.811,,0.038,59898085376.0,Tidak Memenuhi
LMPI,-0.0183,0.11778,-0.03622,-0.028,,1.474,147243581440.0,Tidak Memenuhi
CINT,0.03866,0.32353002,0.03832,-0.004,-0.518,1.711,152000004096.0,Tidak Memenuhi
GWSA,-0.00664,0.56168,-0.84526,-0.012,-0.1,11.31,1146711703552.0,Tidak Memenuhi
NATO,-0.00045000002,0.54354,0.1618,-0.083,-0.164,61.77,1216168984576.0,Tidak Memenuhi
TELE,0.10909,0.00471,-0.02616,-0.729,,0.013,65798365184.0,Tidak Memenuhi
JSPT,0.062119998,0.61521,0.24344999,-0.048,1.328,1.991,7999638732800.0,Tidak Memenuhi
SHID,,0.57141,-0.31788,-0.338,,1.484,985007063040.0,Tidak Memenuhi
BIKE,0.04279,0.14685,0.05098,-0.093,0.286,1.549,1170994364416.0,Tidak Memenuhi
BOGA,-0.00487,0.08068,0.03513,-0.487,,3.26,1871334866944.0,Tidak Memenuhi
PGLI,-0.03254,0.38329,-0.11394,-0.09,,0.408,200079998976.0,Tidak Memenuhi
DUCK,,,,,,,225866088448.0,Tidak Memenuhi
ENAK,0.01258,0.65440005,0.042340003,-0.075,-0.7,0.254,1516666748928.0,Tidak Memenuhi
CSAP,0.02615,0.16174,0.02424,0.016,-0.19,1.005,1852715040768.0,Tidak Memenuhi
BRAM,0.01997,0.12267999,-0.16155,-0.69,,2.81,2272787693568.0,Tidak Memenuhi
SSTM,-0.04244,-0.0554,0.053189997,0.124,4.484,1.638,1024545521664.0,Tidak Memenuhi
MICE,0.04004,0.49691,0.12989001,0.195,0.29,1.765,364020957184.0,Tidak Memenuhi
MASA,0.05666,0.38287997,0.1378,0.077,0.36,2.623,56934275219456.0,Tidak Memenuhi
RICY,-0.04415,0.12919,-0.42804,-0.436,,0.799,40428204032.0,Tidak Memenuhi
PMJS,0.023729999,0.07022,0.01903,0.007,-0.183,1.631,1636916396032.0,Tidak Memenuhi
SOTS,-0.015520001,0.58639,-0.6343,-0.022,,0.966,320001277952.0,Tidak Memenuhi
PTSP,0.050970003,0.60787,0.06859,0.024,-0.216,0.925,207559524352.0,Tidak Memenuhi
SNLK,-0.01948,0.51652,-0.10284001,-0.275,,1.937,182699999232.0,Tidak Memenuhi
ARGO,,0.32666,0.44048,-0.024,10.243,0.478,3142595641344.0,Tidak Memenuhi
BOLT,0.07672,0.21139,0.10067,0.311,1.952,1.491,2695312441344.0,Tidak Memenuhi
BATA,-0.09427,0.47224998,-0.24551001,-0.561,,0.6,79300001792.0,Tidak Memenuhi
PNSE,0.01818,0.5367,0.057690002,-0.055,-0.74,0.514,582403883008.0,Tidak Memenuhi
ZONE,0.02582,0.49076,-0.06352,-0.301,,1.96,487296008192.0,Tidak Memenuhi
SCNP,-0.01334,0.11533,-0.00162,-0.155,-0.734,4.58,394999988224.0,Tidak Memenuhi
TYRE,0.048260003,0.1684,0.0648,0.118,0.063,1.123,445514448896.0,Tidak Memenuhi
CLAY,0.02404,0.45056,-0.04527,-0.53,,0.16,7375899590656.0,Tidak Memenuhi
SBAT,-0.03249,0.00016000001,-0.98550004,-1.0,,0.514,4752982528.0,Tidak Memenuhi
IIKP,,,,,,,1680000024576.0,Tidak Memenuhi
KDTN,0.01726,0.43645,0.05204,0.036,-0.552,4.256,202503766016.0,Tidak Memenuhi
ARTA,0.00316,0.6291,-0.25933,-0.402,,3.178,1451691081728.0,Tidak Memenuhi
CBMF,,,,,,,93750001664.0,Tidak Memenuhi
HOME,,,,,,,1110610018304.0,Tidak Memenuhi
PDES,0.07717,0.18471001,0.07285,0.394,1.184,1.201,468325007360.0,Tidak Memenuhi
MGNA,0.05046,0.54187,0.25847998,0.12,-0.46,0.321,225093713920.0,Tidak Memenuhi
BLTZ,0.046269998,0.43568,0.12847,0.113,1.263,0.386,2097449140224.0,Tidak Memenuhi
GLOB,0.0336,0.0544,0.08337,-0.781,-0.487,0.002,172222349312.0,Tidak Memenuhi
MKNT,-0.043870002,0.022119999,0.02391,-0.301,,2.191,5500000256.0,Tidak Memenuhi
TFCO,0.00746,0.03881,0.01686,0.075,,6.691,2411538153472.0,Tidak Memenuhi
MYTX,0.03303,-0.051820002,0.09053001,-0.28,,0.288,278902145024.0,Tidak Memenuhi
AKKU,-0.00072999997,0.96836,-0.22418,-0.051,,3.158,257978548224.0,Tidak Memenuhi
NUSA,,,,,,,384999981056.0,Tidak Memenuhi
CNTX,-0.14142,-0.1224,-0.21763,-0.231,,0.204,9939999744.0,Tidak Memenuhi
TRIO,,,,,,,,Tidak Memenuhi
MABA,,,,,,,768259981312.0,Tidak Memenuhi
HOTL,,,,,,,177500012544.0,Tidak Memenuhi
UNIT,,,,,,,23833415680.0,Tidak Memenuhi
ADRO,0.041300002,0.37138999,0.2746,-0.153,-0.74,3.794,55399562608640.0,Tidak Memenuhi
PGAS,0.04656,0.16966999,0.13798,0.092,0.259,1.566,42180223696896.0,Tidak Memenuhi
PTBA,0.06311,0.16849001,0.047199998,0.025,-0.644,1.013,27634457116672.0,Memenuhi
ITMG,0.118360005,0.31266,0.0986,-0.22,-0.637,4.097,26553236848640.0,Tidak Memenuhi
BUMI,0.01549,0.15112,0.08028,0.156,-0.87,1.006,52729628065792.0,Tidak Memenuhi
HRUM,0.03524,0.18635,0.09875,0.047,-0.33,2.598,15417156304896.0,Tidak Memenuhi
PTRO,0.02795,0.11767,0.047020003,0.317,2.701,1.266,68585137373184.0,Tidak Memenuhi
CUAN,0.01107,0.10423,0.073410004,0.111,,1.499,225961987538944.0,Tidak Memenuhi
MEDC,0.0505,0.60998,0.25487,-0.052,-0.844,1.436,32828391686144.0,Tidak Memenuhi
ADMR,0.12028,0.43186,0.36207,-0.266,-0.435,2.36,57030853263360.0,Tidak Memenuhi
RAJA,0.0825,0.27418,0.20113,-0.005,-0.348,2.042,17119684067328.0,Tidak Memenuhi
AADI,0.12128,0.27344,0.25125998,-0.08,-0.64,2.238,66577923833856.0,Tidak Memenuhi
AKRA,0.0575,0.09206,0.052389998,0.102,0.006,1.559,24155718156288.0,Tidak Memenuhi
INDY,0.020299999,0.12054,0.059499998,-0.258,,1.621,10873626165248.0,Tidak Memenuhi
ENRG,0.06374,0.35985002,0.28946,0.038,0.073,0.545,21735640399872.0,Tidak Memenuhi
ELSA,0.047849998,0.09883001,0.060100004,0.053,0.756,1.494,3722235084800.0,Tidak Memenuhi
TOBA,-0.01509,0.06241,-0.15508,0.318,,1.209,6647209525248.0,Tidak Memenuhi
DEWA,0.02973,0.10604,0.10939,0.038,7.553,1.023,13589603680256.0,Tidak Memenuhi
RATU,0.22215,0.41280997,0.36917,-0.177,-0.577,5.677,21041667637248.0,Tidak Memenuhi
BSSR,0.17411,0.30915,0.17729001,-0.282,-0.211,2.047,10387505283072.0,Tidak Memenuhi
HUMI,0.041300002,0.24851,0.12042,0.045,-0.357,1.644,2273872445440.0,Tidak Memenuhi
ATLA,0.023829998,0.18268,0.088240005,0.026,0.702,8.636,415369822208.0,Tidak Memenuhi
CBRE,-0.05327,-0.030989999,0.22721,0.437,-0.315,0.343,5967558737920.0,Tidak Memenuhi
PSAT,,0.27305,0.14795999,0.298,-0.064,3.149,2008588353536.0,Tidak Memenuhi
DOID,-0.02299,0.039920002,-0.07151,-0.118,,0.87,2516151959552.0,Tidak Memenuhi
GEMS,0.23873,0.34653,0.11098,-0.239,-0.734,1.317,53235297550336.0,Tidak Memenuhi
BULL,0.05163,0.27708,0.21629,-0.197,-0.751,0.724,3377787305984.0,Tidak Memenuhi
BYAN,0.23663001,0.36951,0.22208999,-0.051,-0.209,1.922,605000032059392.0,Tidak Memenuhi
BIPI,0.031070001,0.22275,-0.05491,-0.489,,0.989,5160525889536.0,Tidak Memenuhi
ABMM,0.01381,0.08724,0.00598,-0.153,-0.845,0.918,8149368569856.0,Tidak Memenuhi
DSSA,0.07768,0.35573003,0.10483,-0.191,-0.81,1.821,523458769321984.0,Tidak Memenuhi
KKGI,0.03498,0.19428,0.04761,-0.416,-1.0,4.726,1588705361920.0,Tidak Memenuhi
TEBE,0.06996,0.41979998,0.31674,-0.212,0.551,13.29,3289599967232.0,Tidak Memenuhi
TPMA,0.105620004,0.34736001,0.22231,-0.093,-0.395,1.335,2062923333632.0,Tidak Memenuhi
SGER,0.05355,0.0496,0.06003,-0.563,-0.815,1.759,8728669061120.0,Tidak Memenuhi
FIRE,0.025120001,0.24014999,-0.02574,0.36,,0.872,123930509312.0,Tidak Memenuhi
MBAP,0.028789999,0.17216,-0.00564,-0.403,-0.876,4.831,1975907778560.0,Tidak Memenuhi
SOCI,0.031400003,0.26087,0.20856,-0.017,0.853,0.793,1538861957120.0,Tidak Memenuhi
GTSI,0.047670003,0.37615,0.16372,0.169,0.308,2.607,2009031245824.0,Tidak Memenuhi
MBSS,0.04394,0.37723,0.28488,0.193,-0.557,13.595,2537538715648.0,Tidak Memenuhi
APEX,0.016180001,0.23528999,0.07634,0.063,,4.702,482319466496.0,Tidak Memenuhi
CGAS,0.00294,0.14986,0.00427,-0.014,-0.89,3.227,253324361728.0,Tidak Memenuhi
MTFN,-0.1331,0.02884,0.0223,-0.073,,0.593,382104993792.0,Tidak Memenuhi
LEAD,0.04445,0.33042,0.20759001,-0.169,,1.119,469768929280.0,Tidak Memenuhi
COAL,0.04083,0.18825,0.52243,-0.678,-0.354,1.137,343749984256.0,Tidak Memenuhi
WINS,0.060450003,0.37179002,0.25019,0.011,-0.56,3.433,1895864729600.0,Tidak Memenuhi
IATA,0.015269999,0.54758,0.11894,-0.462,-0.714,1.03,2158032191488.0,Tidak Memenuhi
SMMT,0.02606,0.07835,0.056220002,1.5,0.44,1.751,6473249718272.0,Tidak Memenuhi
WOWS,0.01539,0.24936001,0.05826,0.382,,1.467,200533311488.0,Tidak Memenuhi
PSSI,0.01464,0.15459,-0.043080002,-0.369,-0.514,6.427,1843702005760.0,Tidak Memenuhi
SICO,0.06613,0.32448003,0.12684,0.732,0.031,5.126,121040338944.0,Tidak Memenuhi
BOAT,,0.23495,0.114020005,0.806,9.25,2.048,427204968448.0,Tidak Memenuhi
MAHA,0.09368,0.18530001,0.24459,0.251,-0.426,1.457,2328085659648.0,Memenuhi
UNIQ,0.08053,0.18345,0.08991,-0.067,-0.301,1.411,1086088085504.0,Tidak Memenuhi
BSML,0.04531,0.22473,0.12234,-0.784,-0.256,1.142,333040517120.0,Tidak Memenuhi
ITMA,0.000120000004,1.0,0.27534,5.317,-0.501,1.052,1348721836032.0,Tidak Memenuhi
BOSS,,,,,,,70000001024.0,Tidak Memenuhi
CNKO,0.17986,0.19278999,0.12588,-0.134,-0.304,0.369,635901640704.0,Tidak Memenuhi
TCPI,0.071880005,0.29419002,0.14096,0.031,1.25,1.737,39249999036416.0,Tidak Memenuhi
RUIS,0.039189998,0.10122,0.04067,-0.06,2.055,1.486,152460001280.0,Tidak Memenuhi
RMKE,0.09133001,0.23045999,0.16946,-0.634,-0.588,2.343,11550000676864.0,Tidak Memenuhi
JSKY,,,,,,,105692078080.0,Tidak Memenuhi
MYOH,0.086780004,0.23226,0.11722,-0.11,-0.084,4.142,3596289310720.0,Tidak Memenuhi
TAMU,-0.1499,0.0,0.80735,-0.957,-0.99,4.08,1012499939328.0,Tidak Memenuhi
MCOL,0.05647,0.22567,0.12854,-0.051,-0.568,3.114,13440016973824.0,Tidak Memenuhi
RGAS,0.06309,0.16564,0.055040002,0.503,0.803,12.268,143004942336.0,Tidak Memenuhi
DWGL,0.09974,0.10205,0.10345,0.125,,1.422,4274803179520.0,Tidak Memenuhi
HILL,0.02657,0.14438,0.07509,0.177,,0.743,2417606000640.0,Tidak Memenuhi
ARII,-0.013259999,0.048639998,-0.19424,-0.228,,0.656,960680034304.0,Tidak Memenuhi
GTBO,-0.05728,-0.09165,-0.161,-0.552,,1.275,499999997952.0,Tidak Memenuhi
BBRM,0.09372,0.48726,0.43585998,0.06,-0.625,7.925,729236176896.0,Tidak Memenuhi
RMKO,-0.07185,-0.19531,-0.56413,-0.13,,0.41,249999998976.0,Tidak Memenuhi
SHIP,0.0623,0.30712998,0.28002,-0.061,1.956,1.236,14822855933952.0,Tidak Memenuhi
PKPK,0.0673,0.34724,0.091730006,16.473,,0.541,660000014336.0,Tidak Memenuhi
SEMA,0.01768,0.21254,0.06533,1.593,9.498,2.216,136073150464.0,Tidak Memenuhi
RIGS,0.07059,0.3167,0.25634,0.082,0.283,40.191,484258349056.0,Memenuhi
BESS,0.08934,0.41867,0.27471,0.835,,7.0,5590739845120.0,Tidak Memenuhi
ALII,0.08297,0.4429,0.43987998,0.075,-0.081,1.591,8783319269376.0,Tidak Memenuhi
KOPI,0.03018,0.35173,0.15424,-0.06,,1.098,251016003584.0,Tidak Memenuhi
TRAM,,,,,,,2482180194304.0,Tidak Memenuhi
ARTI,0.00078,0.030150002,-1.75718,,,0.001,15680000000.0,Tidak Memenuhi
INPS,0.00341,0.15997,0.05685,-0.046,,0.144,115699998720.0,Tidak Memenuhi
PTIS,0.0133299995,0.17679001,0.03147,0.09,,5.044,221166452736.0,Tidak Memenuhi
AIMS,-0.11727,1.0,0.57217,14.238,,0.237,87120003072.0,Tidak Memenuhi
MKAP,0.10875,0.34590998,0.21865,0.196,0.75,2.213,1130999971840.0,Tidak Memenuhi
HITS,0.02676,0.22102,0.111899994,-0.005,-0.381,1.563,823725850624.0,Tidak Memenuhi
SUNI,0.13,0.29333,0.28473,-0.004,0.241,2.22,1974999973888.0,Tidak Memenuhi
SURE,-0.027579999,0.19262,0.06797,0.314,,2.187,4028481667072.0,Tidak Memenuhi
CANI,-0.12585,-0.52564,-0.95128995,-0.413,,0.058,35837919232.0,Tidak Memenuhi
SMRU,,,,,,,624969973760.0,Tidak Memenuhi
SUGI,,,,,,,,Tidak Memenuhi
KLBF,0.09329,0.39924,0.09561,0.126,0.165,3.85,57777833639936.0,Tidak Memenuhi
